Strain,Pore Density,Acetone,Methanol,Ethanol,Compressive strength
0,20,1,0,0,0
0.0242875,20,1,0,0,7.85E-02
0.0448375,20,1,0,0,0.078465355
0.06414375,20,1,0,0,0.00E+00
0.08345,20,1,0,0,1.18E-01
0.10461875,20,1,0,0,7.85E-02
0.12641875,20,1,0,0,0.117698032
0.14634375,20,1,0,0,0.039232677
0.16626875,20,1,0,0,7.85E-02
0.1824625,20,1,0,0,1.18E-01
0.20488125,20,1,0,0,0.19616341
0.22979375,20,1,0,0,7.85E-02
0.254075,20,1,0,0,0.23539611
0.27400625,20,1,0,0,0.19616341
0.2920625,20,1,0,0,0.313861556
0.31199375,20,1,0,0,2.75E-01
0.3369,20,1,0,0,0.313861556
0.358075,20,1,0,0,0.35309405
0.37613125,20,1,0,0,0.431559497
0.39295,20,1,0,0,0.510024943
0.41225625,20,1,0,0,5.88E-01
0.433425,20,1,0,0,6.28E-01
0.45958125,20,1,0,0,0.70618833
0.50130625,20,1,0,0,0.980816934
0.5199875,20,1,0,0,0.941584439
0.54178125,20,1,0,0,1.18E+00
0.56545,20,1,0,0,1.33E+00
0.58724375,20,1,0,0,1.37E+00
0.60716875,20,1,0,0,1.490841876
0.62460625,20,1,0,0,1.608539817
0.64204375,20,1,0,0,1.765470709
0.6644625,20,1,0,0,1.88316865
0.688125,20,1,0,0,2.00086659
0.708675,20,1,0,0,2.079332037
0.72860625,20,1,0,0,2.24E+00
0.7472875,20,1,0,0,2.39E+00
0.77095,20,1,0,0,2.55E+00
0.79648125,20,1,0,0,2.70705492
0.81828125,20,1,0,0,2.86398627
0.8363375,20,1,0,0,2.942450801
0.85190625,20,1,0,0,3.060148741
0.8712125,20,1,0,0,3.217080092
0.89611875,20,1,0,0,3.334778032
0.9185375,20,1,0,0,3.491709382
0.9397125,20,1,0,0,3.727105263
0.97645625,20,1,0,0,4.001732265
1.00011875,20,1,0,0,4.158663616
1.0225375,20,1,0,0,4.276361556
1.04433125,20,1,0,0,4.354828375
1.06550625,20,1,0,0,4.472526316
1.0835625,20,1,0,0,4.629455378
1.101,20,1,0,0,4.864853547
1.1246625,20,1,0,0,4.982551487
1.14895,20,1,0,0,5.178713959
1.16888125,20,1,0,0,5.41410984
1.18943125,20,1,0,0,5.41410984
1.20873125,20,1,0,0,5.453343249
1.2292875,20,1,0,0,5.68873913
1.252325,20,1,0,0,5.806437071
1.274125,20,1,0,0,5.884901602
1.29405,20,1,0,0,6.120297483
1.3102375,20,1,0,0,6.237995423
1.328925,20,1,0,0,6.316462243
1.3525875,20,1,0,0,4.707922197
1.376875,20,1,0,0,4.982551487
1.4142375,20,1,0,0,5.53180778
1.4347875,20,1,0,0,5.806437071
1.45969375,20,1,0,0,6.198764302
1.48523125,20,1,0,0,6.473391304
1.50453125,20,1,0,0,6.787254005
1.52135,20,1,0,0,6.904951945
1.53691875,20,1,0,0,7.218812357
1.55995625,20,1,0,0,7.493441648
1.58424375,20,1,0,0,7.846535469
1.6072875,20,1,0,0,8.003466819
1.6241,20,1,0,0,8.27809611
1.64340625,20,1,0,0,7.925002288
1.664575,20,1,0,0,7.846535469
1.6894875,20,1,0,0,8.27809611
1.71315,20,1,0,0,8.670423341
1.7312125,20,1,0,0,9.062748284
1.7511375,20,1,0,0,9.298146453
1.76795625,20,1,0,0,7.925002288
1.78975,20,1,0,0,8.317327231
1.81465625,20,1,0,0,8.748887872
1.83520625,20,1,0,0,9.101981693
1.8756875,20,1,0,0,9.768938215
1.8968625,20,1,0,0,10.16126545
1.91865625,20,1,0,0,10.55359039
1.93858125,20,1,0,0,10.86745309
1.9572625,20,1,0,0,11.1813135
1.97719375,20,1,0,0,11.53440732
1.99525,20,1,0,0,11.80903661
2.01705,20,1,0,0,12.27982838
2.04258125,20,1,0,0,12.71138902
2.065625,20,1,0,0,13.02524943
2.08679375,20,1,0,0,13.26064531
2.1061,20,1,0,0,13.65297254
2.12478125,20,1,0,0,13.96683524
2.147825,20,1,0,0,13.77067048
2.16836875,20,1,0,0,9.886636156
2.187675,20,1,0,0,10.47512586
2.20823125,20,1,0,0,10.82821968
2.2262875,20,1,0,0,11.29901144
2.24870625,20,1,0,0,11.22054691
2.27236875,20,1,0,0,10.12203204
2.31409375,20,1,0,0,10.94591762
2.33526875,20,1,0,0,11.33824485
2.3570625,20,1,0,0,11.69133867
2.3776125,20,1,0,0,11.88750343
2.39691875,20,1,0,0,11.65210526
2.414975,20,1,0,0,11.88750343
2.43801875,20,1,0,0,12.35829519
2.457325,20,1,0,0,12.75062014
2.4803625,20,1,0,0,11.33824485
2.50278125,20,1,0,0,11.80903661
2.5220875,20,1,0,0,11.25978032
2.5420125,20,1,0,0,10.94591762
2.56256875,20,1,0,0,11.45594279
2.58498125,20,1,0,0,12.00520137
2.6055375,20,1,0,0,12.47599314
2.62296875,20,1,0,0,12.90755149
2.642275,20,1,0,0,13.29987872
2.66220625,20,1,0,0,13.65297254
2.68275625,20,1,0,0,14.1237643
2.7082875,20,1,0,0,14.63378947
2.7525,20,1,0,0,15.10458124
2.77180625,20,1,0,0,15.69307094
2.79173125,20,1,0,0,14.90841876
2.8154,20,1,0,0,15.22227918
2.8378125,20,1,0,0,15.96770023
2.85463125,20,1,0,0,16.39926087
2.87144375,20,1,0,0,17.02698398
2.8926125,20,1,0,0,17.53700686
2.91316875,20,1,0,0,18.20396339
2.9355875,20,1,0,0,18.8316865
2.96111875,20,1,0,0,19.45940961
2.9798,20,1,0,0,20.04789931
2.99848125,20,1,0,0,20.59715561
3.01965625,20,1,0,0,21.30334554
3.0427,20,1,0,0,22.04876659
3.0663625,20,1,0,0,22.40186041
3.0869125,20,1,0,0,23.14727689
3.1062125,20,1,0,0,23.34345538
3.12365,20,1,0,0,23.65729977
3.1442,20,1,0,0,19.02784897
3.1890375,20,1,0,0,20.79332037
