hidden_layers	neurons_per_layer	val_mse	val_r2	val_mae	test_mse	test_r2	test_mae
1	25	131.7730	0.9280	7.5990	116.2490	0.9340	7.3820
1	50	194.0850	0.8930	9.4810	174.3220	0.9000	9.1910
1	75	85.6520	0.9530	6.6050	79.0940	0.9550	6.4520
1	100	102.5970	0.9440	6.8890	92.3900	0.9470	6.7170
1	125	120.7030	0.9340	7.1890	104.2860	0.9400	6.9800
1	150	83.3790	0.9540	6.4870	76.2550	0.9560	6.3200
1	175	97.4000	0.9470	6.7740	87.7510	0.9500	6.6460
1	200	67.9850	0.9630	6.1900	64.1850	0.9630	6.0780
2	25	66.0190	0.9640	6.0560	59.6310	0.9660	5.8060
2	50	61.7500	0.9660	5.8000	55.0840	0.9690	5.5670
2	75	60.5070	0.9670	5.7520	54.3780	0.9690	5.5310
2	100	54.1230	0.9700	5.4830	48.8520	0.9720	5.2540
2	125	50.5740	0.9720	5.2760	45.0970	0.9740	4.9900
2	150	54.1990	0.9700	5.4610	49.0930	0.9720	5.2490
2	175	50.1460	0.9730	4.9970	43.8850	0.9750	4.8920
2	200	49.6870	0.9730	5.1050	42.5210	0.9760	4.8150
3	25	56.8520	0.9690	5.6030	50.8390	0.9710	5.3750
3	50	48.8490	0.9730	5.1180	43.2110	0.9750	4.9390
3	75	51.4450	0.9720	5.0400	44.4970	0.9750	4.8230
3	100	42.7060	0.9770	4.6580	36.3870	0.9790	4.4360
3	125	42.8900	0.9770	4.7480	38.0630	0.9780	4.5040
3	150	42.5670	0.9770	4.6890	37.8920	0.9780	4.4500
3	175	39.9270	0.9780	4.6220	36.4400	0.9790	4.4610
3	200	39.9850	0.9780	4.6040	36.2820	0.9790	4.4990
4	25	66.6330	0.9630	5.4610	55.7450	0.9680	5.1880
4	50	41.5800	0.9770	4.6700	37.0710	0.9790	4.4750
4	75	44.1990	0.9760	4.6860	39.3860	0.9770	4.5030
4	100	39.1000	0.9790	4.6000	35.0000	0.9800	4.4000
4	125	42.4880	0.9770	4.6100	35.2250	0.9800	4.4380
4	150	40.0720	0.9780	4.6200	35.2370	0.9800	4.4322
4	175	39.1430	0.9790	4.6210	35.3290	0.9810	4.4170
4	200	43.3090	0.9760	4.6400	36.1490	0.9790	4.4320
