1000 Epochs							
hidden_layers	neurons_per_layer	val_mse	val_r2	val_mae	test_mse	test_r2	test_mae
1	25	194.83	0.8930	9.46	174.10	0.9005	9.08
1	50	194.62	0.8932	9.46	174.60	0.9002	9.13
1	75	193.12	0.8940	9.38	172.59	0.9014	9.05
1	100	147.36	0.9191	7.95	126.58	0.9277	7.59
1	125	117.10	0.9357	7.43	103.49	0.9409	7.15
1	150	142.96	0.9215	7.72	123.04	0.9297	7.45
1	175	145.86	0.9199	7.85	124.55	0.9288	7.52
1	200	142.78	0.9216	7.72	122.36	0.9301	7.40
2	25	71.13	0.9609	6.33	67.23	0.9616	6.23
2	50	67.64	0.9629	6.07	60.47	0.9654	5.80
2	75	64.30	0.9647	5.92	59.91	0.9658	5.83
2	100	74.33	0.9592	6.57	71.36	0.9592	6.49
2	125	64.75	0.9645	5.97	57.75	0.9670	5.70
2	150	64.42	0.9646	6.00	60.00	0.9657	5.83
2	175	60.51	0.9668	5.72	54.88	0.9686	5.51
2	200	61.95	0.9660	5.73	54.71	0.9687	5.53
3	25	82.99	0.9544	6.90	78.77	0.9550	6.81
3	50	61.71	0.9661	5.77	56.89	0.9675	5.59
3	75	59.80	0.9672	5.73	53.99	0.9691	5.48
3	100	60.91	0.9666	5.71	53.59	0.9694	5.47
3	125	60.22	0.9669	5.58	54.74	0.9687	5.39
3	150	57.55	0.9684	5.51	52.39	0.9701	5.30
3	175	56.14	0.9692	5.48	50.38	0.9712	5.25
3	200	53.14	0.9708	5.35	47.58	0.9728	5.14
4	25	68.54	0.9624	6.18	63.86	0.9635	6.01
4	50	56.73	0.9689	5.56	51.53	0.9706	5.38
4	75	60.89	0.9666	5.60	55.22	0.9684	5.40
4	100	55.29	0.9696	5.35	49.47	0.9717	5.14
4	125	52.01	0.9714	5.24	45.82	0.9738	5.06
4	150	53.56	0.9706	5.38	48.97	0.9720	5.21
4	175	59.23	0.9675	5.65	52.87	0.9698	5.42
4	200	50.31	0.9724	5.21	45.47	0.9740	5.04

